"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Sotkamo Kuolaniemi","2010","12","14","02:00","20"
"Sotkamo Kuolaniemi","2010","12","15","02:00","20"
"Sotkamo Kuolaniemi","2010","12","16","02:00","20"
"Sotkamo Kuolaniemi","2010","12","17","02:00","20"
"Sotkamo Kuolaniemi","2010","12","18","02:00","20"
"Sotkamo Kuolaniemi","2010","12","19","02:00","21"
"Sotkamo Kuolaniemi","2010","12","20","02:00","21"
"Sotkamo Kuolaniemi","2010","12","21","02:00","27"
"Sotkamo Kuolaniemi","2010","12","22","02:00","25"
"Sotkamo Kuolaniemi","2010","12","23","02:00","26"
